interaction_id,customer_id,product_id,interaction_type,rating,category,price,date
I000297,C0011,P0163,view,0,Clothing,8355.63,2024-09-06
I000298,C0011,P0215,cart,0,Home & Kitchen,1628.82,2023-07-26
I000299,C0011,P0358,cart,0,Toys,920.5,2023-09-25
I000300,C0011,P0121,purchase,1,Books,1848.53,2023-09-14
I000301,C0011,P0061,purchase,5,Books,2536.89,2025-03-30
I000302,C0011,P0269,cart,0,Sports,1450.67,2023-08-04
I000303,C0011,P0147,cart,0,Clothing,1586.1,2023-04-28
I000304,C0011,P0285,purchase,2,Sports,2164.17,2024-12-27
I000305,C0011,P0022,cart,0,Electronics,3923.15,2025-05-10
I000306,C0011,P0002,purchase,5,Electronics,1468.41,2024-05-14
I000307,C0011,P0103,cart,0,Books,1306.19,2023-04-05
I000308,C0011,P0036,cart,0,Electronics,2244.59,2024-01-31
I000309,C0011,P0294,view,0,Beauty,1976.98,2023-10-12
I000310,C0011,P0274,view,0,Sports,895.14,2024-07-15
I000311,C0011,P0051,cart,0,Electronics,569.86,2023-12-24
I000312,C0011,P0143,view,0,Clothing,247.81,2024-03-30
I000313,C0011,P0384,purchase,5,Toys,984.9,2024-10-30
I000314,C0012,P0437,purchase,5,Grocery,194.24,2025-02-28
I000315,C0012,P0452,purchase,1,Grocery,1263.75,2023-02-07
I000316,C0012,P0248,purchase,4,Sports,728.94,2023-12-23
I000317,C0012,P0267,purchase,5,Sports,1513.8,2023-05-26
I000318,C0012,P0242,view,0,Sports,313.28,2024-08-23
I000319,C0012,P0067,view,0,Books,250.68,2025-01-16
I000320,C0012,P0039,view,0,Electronics,436.94,2022-09-16
I000321,C0012,P0145,cart,0,Clothing,134.32,2023-03-08
I000322,C0012,P0420,purchase,5,Grocery,291.33,2024-09-11
I000323,C0012,P0328,purchase,5,Beauty,443.38,2024-11-23
I000324,C0012,P0028,view,0,Electronics,431.31,2022-06-14
I000325,C0012,P0015,purchase,5,Electronics,253.17,2023-02-27
I000326,C0012,P0324,view,0,Beauty,4968.0,2024-12-04
I000327,C0012,P0164,cart,0,Clothing,3378.93,2023-06-05
I000328,C0012,P0078,cart,0,Books,2407.05,2025-02-01
I000329,C0012,P0148,purchase,2,Clothing,910.79,2023-09-25
I000330,C0012,P0058,cart,0,Electronics,1608.12,2023-09-25
I000331,C0012,P0414,purchase,1,Grocery,468.34,2023-07-11
I000332,C0012,P0283,view,0,Sports,2643.12,2022-03-04
I000333,C0012,P0426,view,0,Grocery,8512.71,2023-03-06
I000334,C0012,P0049,purchase,1,Electronics,3056.02,2024-01-18
I000335,C0012,P0296,view,0,Beauty,813.21,2024-10-06
I000336,C0012,P0147,cart,0,Clothing,1586.1,2024-09-21
I000337,C0012,P0083,view,0,Books,394.52,2025-01-08
I000338,C0012,P0121,purchase,1,Books,1848.53,2024-10-26
I000339,C0012,P0412,cart,0,Grocery,126.05,2023-11-12
I000340,C0012,P0200,view,0,Home & Kitchen,1451.59,2024-10-24
I000341,C0012,P0092,cart,0,Books,7917.35,2022-02-07
I000342,C0012,P0455,view,0,Grocery,4131.99,2024-04-18
I000343,C0012,P0089,view,0,Books,1652.89,2023-08-31
I000344,C0012,P0274,purchase,1,Sports,895.14,2022-08-10
I000345,C0012,P0256,view,0,Sports,781.04,2024-09-09
I000346,C0012,P0219,cart,0,Home & Kitchen,1181.29,2025-05-29
I000347,C0012,P0187,view,0,Home & Kitchen,2102.98,2024-07-01
I000348,C0012,P0029,view,0,Electronics,431.55,2025-01-11
I000349,C0012,P0452,purchase,1,Grocery,1263.75,2023-02-03
I000350,C0012,P0042,purchase,3,Electronics,439.47,2022-09-27
I000351,C0012,P0159,view,0,Clothing,1597.85,2025-06-11
I000352,C0012,P0065,purchase,3,Books,690.7,2022-04-19
I000353,C0012,P0044,purchase,5,Electronics,1567.66,2024-02-03
I000354,C0012,P0147,purchase,1,Clothing,1586.1,2025-02-07
I000355,C0012,P0289,view,0,Beauty,2066.05,2022-06-10
I000356,C0012,P0096,purchase,1,Books,646.27,2023-08-18
I000357,C0012,P0021,cart,0,Electronics,4306.64,2024-10-14
I000358,C0012,P0168,view,0,Clothing,2686.78,2022-10-23
I000359,C0012,P0245,purchase,5,Sports,515.54,2022-10-08
I000360,C0012,P0076,cart,0,Books,3009.29,2025-02-21
I000361,C0012,P0199,purchase,5,Home & Kitchen,2594.47,2023-12-03
I000362,C0012,P0020,purchase,5,Electronics,146.72,2022-09-22
I000363,C0012,P0092,view,0,Books,7917.35,2023-11-26
I000364,C0012,P0120,cart,0,Books,404.62,2022-06-18
I000365,C0012,P0255,purchase,2,Sports,505.19,2024-09-01
I000366,C0012,P0087,purchase,1,Books,5886.22,2024-07-12
I000367,C0012,P0115,purchase,1,Books,2866.96,2022-04-26
I000368,C0012,P0169,cart,0,Clothing,1179.24,2024-09-12
I000369,C0012,P0168,purchase,5,Clothing,2686.78,2022-06-07
I000370,C0012,P0133,purchase,5,Clothing,1611.17,2022-09-06
I000371,C0012,P0084,view,0,Books,2936.93,2023-11-09
I000372,C0012,P0187,purchase,5,Home & Kitchen,2102.98,2023-10-18
I000373,C0012,P0350,view,0,Toys,567.09,2024-05-12
I000374,C0012,P0156,purchase,5,Clothing,257.02,2024-03-21
I000375,C0012,P0033,purchase,4,Electronics,794.0,2024-08-29
I000376,C0012,P0269,cart,0,Sports,1450.67,2022-12-08
I000377,C0012,P0216,purchase,3,Home & Kitchen,318.92,2022-07-20
I000378,C0012,P0428,purchase,5,Grocery,152.23,2022-06-29
I000379,C0012,P0101,view,0,Books,623.95,2022-06-24
I000380,C0012,P0180,view,0,Home & Kitchen,478.62,2023-09-11
I000381,C0012,P0127,cart,0,Clothing,2226.27,2022-06-03
I000382,C0012,P0333,purchase,2,Beauty,262.02,2024-05-28
I000383,C0012,P0377,view,0,Toys,1563.59,2024-04-29
I000384,C0012,P0169,view,0,Clothing,1179.24,2023-02-09
I000385,C0012,P0305,view,0,Beauty,126.41,2024-08-07
I000386,C0012,P0366,purchase,1,Toys,388.23,2024-09-21
I000387,C0012,P0135,purchase,1,Clothing,3011.02,2022-07-12
I000388,C0012,P0292,cart,0,Beauty,345.74,2023-08-30
I000389,C0012,P0093,purchase,4,Books,3323.72,2024-04-11
I000390,C0012,P0221,view,0,Home & Kitchen,4578.29,2024-03-08
I000391,C0012,P0410,purchase,1,Grocery,274.6,2022-01-31
I000392,C0012,P0155,purchase,1,Clothing,2726.0,2024-05-15
I000393,C0012,P0280,cart,0,Sports,2714.59,2023-03-16
I000394,C0012,P0199,cart,0,Home & Kitchen,2594.47,2024-03-19
I000395,C0012,P0337,purchase,5,Beauty,885.33,2025-01-02
I000396,C0012,P0241,cart,0,Sports,2163.34,2025-05-17
I000397,C0012,P0417,purchase,2,Grocery,3609.8,2023-11-27
I000398,C0012,P0098,purchase,3,Books,4225.94,2023-08-21
I000399,C0013,P0320,view,0,Beauty,526.98,2024-03-08
I000400,C0013,P0351,view,0,Toys,2328.73,2025-03-11
I000401,C0013,P0243,purchase,1,Sports,1174.17,2025-02-17
I000402,C0014,P0252,purchase,1,Sports,813.09,2024-12-26
I000403,C0014,P0431,cart,0,Grocery,4772.51,2024-09-05
I000404,C0014,P0339,view,0,Beauty,1454.98,2024-11-21
I000405,C0014,P0412,purchase,5,Grocery,126.05,2024-12-17
I000406,C0015,P0339,purchase,5,Beauty,1454.98,2024-05-19
I000407,C0015,P0044,cart,0,Electronics,1567.66,2023-11-21
I000408,C0015,P0406,purchase,1,Grocery,870.07,2024-07-22
I000409,C0015,P0276,cart,0,Sports,7153.09,2024-01-22
I000410,C0015,P0450,purchase,5,Grocery,1538.29,2025-02-01
I000411,C0015,P0237,purchase,4,Sports,585.27,2024-11-14
I000412,C0015,P0095,cart,0,Books,5069.6,2024-02-23
